HH,EndPoint,C,E,M,V,OTH,FOLLOWUP
274427,E3,,P+,,,,
274427,E5,,P+,,,,
278872,E1,,P+,,,,
280243,E1,,P+,,,,
286728,E1,,P+,,,,
286961,E5,,P+,,,P+,
288001,E3,,P+,,P+,,
288007,E4,N-,,,,,
290059,E2,,,N-,,,Less
290572,E3,P+,P+,,P+,,
297021,E1,P+,P+,,P+,,
299075,E1,,P+,,,,
300202,E5,,P+,,,,
300251,E1,P+,P+,,P+,,
300375,E1,,P+,,,,
300454,E4,N-,,,,,
300576,E1,P+,P+,,,,
301003,E3,,P+,,,,
301277,E5,,P+,,,,
301296,E3,,P+,,,,
301902,E3,,P+,,,,
302350,E1,,P+,,,,
303518,E1,,P+,,P+,,
304710,E1,,P+,,,,
306877,E1,,P+,,,,
307239,E6,,,N-,,,No Change
307367,E1,,P+,,,,
307987,E4,,,N-,,,No Change
310081,E1,,P+,,,,
310136,E1,P+,P+,,P+,,
310729,E1,P+,P+,,,,
310915,E3,,P+,,,,
312528,E1,,P+,,,,
313511,E5,,P+,,,,
314116,E4,,,N-,,,
315781,E3,,P+,,P+,,
315987,E1,P+,P+,,,P+,
316299,E4,N-,,N-,,,
316398,E4,,,N-,,,No Change
316764,E4,,,N-,,,
317458,E1,P+,P+,,P+,,
319543,E3,P+,P+,,,,
319706,E1,P+,P+,,P+,,
319981,E1,P+,P+,,P+,P+,
320366,E4,,,,N-,,
322584,E4,,,,,N-,
326526,E1,P+,P+,,P+,,
328621,E1,P+,P+,,P+,,
329589,E6,N-,,,,,
330156,E6,,,N-,,,
332272,E5,,P+,,,,
332931,E5,,P+,,,,
333243,E1,P+,P+,,,,
333295,E4,,,,,N-,
333508,E3,,P+,,P+,,
334899,E3,,P+,,,,
335774,E1,P+,P+,,P+,,
336719,E5,,P+,,,,
336853,E1,,P+,,,,
338994,E4,,,,,N-,
341623,E6,,,,,N-,
342768,E1,,P+,,,,
347612,E6,N-,,,,,
348349,E1,,P+,,P+,,
348797,E3,,P+,,,,
348805,E1,,P+,,,,
349578,E5,,P+,,,,
351762,E5,,P+,,,,
352342,E3,P+,P+,,,,
353474,E5,,P+,,,,
355271,E1,,P+,,,,
357195,E3,,P+,,P+,,
360673,E1,P+,P+,,,,
361138,E1,P+,P+,,P+,,
361217,E5,,P+,,,,
362520,E4,N-,,,,,
362837,E1,,P+,,,,
362839,E1,P+,P+,,P+,P+,
363948,E1,P+,P+,,,,
365551,E1,,P+,,,,
366975,E3,P+,P+,,,,
367087,E4,,,N-,,,No Change
367869,E4,,,,N-,,
367923,E6,,,N-,,,
373567,E6,,,N-,,,No Change
374224,E4,N-,,,,,
374792,E1,P+,P+,,,,
377732,E1,,P+,,,,
377961,E1,,P+,,,,
379110,E5,,,,,P+,
381263,E5,,P+,,,,
381534,E5,,P+,,,,
382278,E5,,P+,,,,
382893,E1,P+,P+,,,,
383916,E3,,P+,,,,
384699,E1,P+,P+,,P+,,
385185,E4,,,N-,,,No Change
385395,E6,,,N-,,,
386265,E4,,,N-,,,No Change
386270,E6,N-,,,,,
