HH,EndPoint,C,E,M,V,OTH,FOLLOWUP
2846652,E1,P+,P+,,,,
2846820,E6,N-,,,,,
2848049,E4,,,,N-,,
2848449,E1,P+,P+,,P+,,
2848452,E2,,,N-,,,
2849948,E4,N-,N-,,,,
2850203,E5,,P+,,,,
2853155,E1,P+,P+,,,,
2853571,E3,,P+,,,,
2855076,E6,,,,,N-,
2855337,E5,,P+,,,,
2855499,E1,,P+,,,,
2856464,E1,P+,P+,,,,
2856841,E4,,,,N-,,
2857941,E1,,P+,,,,
2858485,E1,P+,P+,,,,
2859143,E3,,P+,,,,
2859722,E4,,,N-,,,No Change
2860544,E5,,P+,,,,
2864054,E4,,N-,,N-,,
2864393,E4,N-,,,,,
2864838,E3,,P+,,,,
2865345,E1,P+,P+,,,,
2866646,E5,,P+,,,,
2867142,E6,N-,,,,,
2867420,E3,P+,P+,,P+,,
2867895,E2,,,,N-,N-,
2868612,E6,,N-,,,,
2869324,E1,P+,P+,,P+,,
2869972,E4,N-,,,N-,,
2870039,E1,,P+,,,,
2871139,E1,,P+,,,,
2872959,E1,P+,P+,,,,
2872991,E4,,,N-,,,More
2873688,E5,,P+,,,,
2874182,E1,P+,P+,,,,
2874805,E3,,P+,,,,
2874935,E5,,P+,,,,
2877405,E5,,P+,,,,
2877664,E4,N-,,,N-,,
2879034,E2,,,,N-,,
2880947,E3,P+,P+,,P+,,
2881095,E5,,P+,,,,
2882046,E2,N-,,,,,
2882470,E3,P+,P+,,,,
2883008,E5,,P+,,,,
2883751,E5,,P+,,,,
2884451,E3,,P+,,,,
2884893,E2,N-,,,,,
2885369,E6,N-,,,,,
2889639,E4,,,,,N-,
2891471,E4,N-,,,,,
2892106,E3,,P+,,,,
2892204,E3,P+,P+,,,,
2892647,E1,P+,P+,,,,
2893168,E4,,,,N-,,
2894317,E1,,P+,,,,
2895160,E6,,N-,,,,
2895206,E1,,P+,,,,
2899136,E4,,,,,N-,
2899782,E4,N-,,,,,
2900709,E1,P+,P+,,P+,,
2900739,E3,,P+,,,,
2900841,E5,,P+,,,,
2902172,E3,,P+,,,,
2902350,E1,P+,P+,,,,
2903909,E4,,,,N-,,
2904868,E4,N-,,,,,
2906237,E6,N-,,,,,
2910890,E5,,,P+,,,
2915739,E3,,P+,,,,
2916331,E4,,,,N-,,
2918450,E3,P+,P+,,,,
2921063,E4,,,,,N-,
2923253,E1,,P+,,,,
2924886,E5,,P+,,,,
2925150,E1,P+,P+,,P+,P+,
2926632,E4,,N-,,,,
2927347,E1,,P+,,,,
2927599,E4,,,N-,,,
2927861,E3,,P+,,,,
2928549,E1,,P+,,,,
2930627,E3,,P+,,P+,,
2931081,E6,,,N-,N-,,
2931448,E1,P+,P+,,P+,,
2933930,E1,P+,P+,,,,
2935602,E4,N-,,,,,
2935737,E5,,P+,,,,
2936448,E5,,P+,,,,
2940004,E4,,,N-,N-,,
2940458,E2,N-,,,,,
2940765,E1,,P+,,,,
2942458,E5,,P+,,,,
2942821,E5,,P+,,,,
2944025,E5,,P+,,,,
2945109,E4,N-,,,,,
2945869,E1,P+,P+,,,,
2946050,E5,,P+,,,,
2949273,E2,,,,N-,,
2950015,E3,,P+,,,,
2950462,E1,,P+,,,,
2951487,E1,P+,P+,,,,
2951550,E4,N-,,,,,
2951614,E4,N-,,,,,
2951808,E2,,,N-,,,
2952556,E4,,,,N-,,
2955052,E2,,N-,,,,
2955130,E5,,P+,,,,
2955492,E1,P+,P+,,,,
2958369,E5,,P+,,,,
2958581,E5,,P+,,,,
2959065,E3,,P+,,,,
2959556,E3,,P+,,,,
2960160,E3,,P+,,,,
2961642,E5,,P+,,,,
2963260,E3,P+,P+,,,,
2963350,E5,,P+,P+,,,
2964112,E4,N-,,,,,
2965129,E5,,,,,P+,
2968752,E5,,P+,,,,
2970031,E3,,P+,,,,
2971243,E4,N-,,,,,
2973825,E1,,P+,,,,
2974963,E3,P+,P+,,,,
2976244,E4,N-,,,,,
2976861,E5,,P+,,,,
2980560,E3,,P+,,,,
2980822,E1,P+,P+,,P+,,
2981534,E5,,P+,,,,
2982365,E1,P+,P+,,,,
2985232,E1,P+,P+,,P+,,
2985294,E1,,P+,,,,
2986140,E3,,P+,,,,
2987070,E6,N-,,,,,
2987134,E1,P+,P+,,,,
2987422,E6,,,N-,,,No Change
2988212,E1,P+,P+,,P+,,
2990554,E4,N-,,,,,
2991300,E4,N-,,,,,
2992322,E1,P+,P+,,,,
2993319,E1,P+,P+,,,,
3001140,E3,,P+,,,,
3002339,E1,P+,P+,,P+,,
3003066,E3,,P+,,,,
3003550,E4,N-,,,,,
3003757,E1,,P+,,,,
3003836,E1,P+,P+,,P+,,
3003882,E1,P+,P+,,,,
3005948,E5,,P+,,,,
3007606,E3,,P+,,P+,,
3010265,E5,,P+,,,,
3011661,E3,,P+,,,,
3012540,E3,,P+,,,,
3013472,E1,P+,P+,,,,
3019212,E3,,P+,,,,
3021649,E3,P+,P+,,,,
3023173,E1,P+,P+,,P+,,
3024818,E5,,P+,,,,
3026943,E6,,,N-,,,More
3027144,E1,P+,P+,,,,
3028083,E6,N-,,,,,
3028394,E6,N-,,,,,
3029106,E6,N-,,,,,
3030125,E5,,P+,,,,
3032527,E4,,,,N-,,
3034688,E3,P+,,,,,
3034925,E1,P+,P+,,,,
3036246,E3,,P+,,,P+,
3037357,E1,P+,P+,,,,
3038310,E5,,P+,,,,
3043251,E5,,P+,,,,
3043589,E3,P+,P+,,,,
3043692,E4,N-,,,,,
3046885,E4,N-,,,,,
3047048,E1,P+,P+,,,P+,
3052060,E5,,P+,,,,
3054027,E4,,,N-,,,
3055302,E3,,P+,,,,
3055481,E5,P+,P+,,,,
3057854,E1,P+,P+,,,,
3058406,E5,P+,,,,,
3063580,E4,N-,,,N-,,
3064047,E1,P+,P+,,,,
3064757,E4,N-,,,,,
3067822,E3,P+,P+,,P+,,
3072076,E1,,P+,,,,
3073759,E3,,P+,,,,
3077039,E5,,P+,,,,
3078439,E3,,P+,,,,
3078728,E1,P+,P+,,,,
3079783,E1,P+,P+,,,,
3080142,E6,,,N-,,,Less
3080515,E4,,,N-,,,More
3081024,E1,,P+,,,,
3082672,E1,P+,P+,,,,
3085126,E3,P+,P+,,,,
3092559,E5,,P+,,,,
3093822,E1,P+,P+,,P+,,
3097358,E3,,P+,,,,
3097615,E1,,P+,,,,
3099112,E1,P+,P+,,P+,,
3099708,E6,,,N-,,,No Change
3102597,E6,N-,,,,,
3102629,E3,P+,,,,,
3104726,E1,P+,P+,,,,
3105005,E3,,P+,,P+,,
3107762,E6,,,N-,,,
3107883,E1,P+,P+,,P+,,
3114203,E4,N-,,N-,,,No Change
3114527,E1,P+,P+,,,,
3114614,E3,,P+,,,,
3117030,E6,N-,,,,,
3118012,E1,P+,P+,,P+,,
3118234,E1,P+,P+,,,,
3118588,E5,,P+,,,,
3118799,E5,,P+,,,,
3119111,E6,N-,,,,,
3119734,E1,,P+,,,,
3123360,E5,,P+,,,,
3123827,E3,,P+,,,,
3123878,E2,,,N-,,,More
3124769,E1,,P+,,,,
3126012,E1,P+,P+,,P+,,
3127178,E1,P+,P+,,,,
3130415,E1,,P+,,,,
3131577,E1,P+,P+,,,,
3131781,E1,,P+,,,,
3133076,E6,N-,,,,,
3133461,E6,,,N-,,,No Change
3133819,E4,N-,,N-,,,
3138225,E1,P+,P+,,P+,,
3138308,E4,N-,,,,,
3138796,E3,,P+,,P+,,
3138804,E3,P+,P+,,,,
3138963,E3,,P+,,,,
3141094,E3,,P+,,,,
3141895,E6,,,N-,,,
3147229,E5,,P+,,,,
3147477,E1,P+,P+,,,,
3149002,E1,P+,P+,,P+,,
3149989,E5,,P+,,,,
3150350,E3,,P+,,,,
3153982,E1,,P+,,P+,,
3154524,E6,,,,,N-,
3158468,E3,,P+,,,,
3161361,E1,P+,P+,,P+,,
3163041,E3,P+,P+,,,,
3163399,E5,,P+,,,,
3164231,E1,P+,P+,,,,
3166088,E4,,,N-,,,More
3166515,E4,,,N-,,,More
3167121,E5,,P+,,,,
3167840,E1,P+,P+,,,,
3170111,E6,N-,,N-,,,No Change
3177670,E4,N-,,,N-,,
3178227,E1,,P+,,,,
3180898,E5,,P+,,,,
3181193,E3,,P+,,,,
3182910,E1,P+,P+,,P+,,
3183932,E4,N-,,,N-,,
3185646,E1,P+,P+,,P+,,
3186257,E2,,,,N-,,
3186646,E5,,P+,,,,
3190962,E1,P+,P+,,P+,,
3191106,E1,,P+,,,,
3191850,E1,P+,P+,,P+,,
3195384,E1,,P+,,,,
3196109,E1,,P+,,,P+,
3197463,E4,,,N-,,,
3199457,E3,P+,P+,,,,
3200100,E2,,,N-,,,
3202745,E4,N-,,,,,
3202959,E4,N-,,,,,
3203660,E6,N-,,N-,,,Less
3205108,E3,,P+,,,,
3206412,E4,N-,,,,,
3206936,E1,,P+,,,,
3218055,E1,P+,P+,,P+,,
3220971,E5,,P+,,,,
3221626,E4,,,,N-,,
3221937,E5,,P+,,,,
3223704,E5,,P+,,,,
3224406,E1,P+,P+,,,,
3224781,E3,,P+,,P+,,
3225311,E6,N-,,,,,
3225361,E3,,P+,,,,
3226313,E3,,P+,,,,
3229512,E2,,,N-,,,
3230035,E5,,P+,,,,
3230424,E1,P+,P+,,,,
3231027,E5,,P+,,,,
3232785,E4,N-,,,,,
3233263,E3,,P+,,,,
3233644,E3,,P+,,,,
3234640,E1,P+,P+,,P+,,
3237929,E6,N-,,,N-,,
3242926,E1,P+,P+,,,,
3243562,E1,P+,P+,,P+,,
3244122,E1,P+,P+,,P+,,
3247908,E4,N-,,,,,
3248423,E1,P+,P+,,P+,,
3250162,E5,,P+,,,,
3250185,E3,,P+,,,,
3250367,E1,P+,P+,,P+,,
3252127,E1,P+,P+,,,,
3253816,E1,P+,P+,,,,
3255517,E1,,P+,,,,
3259697,E5,,P+,,,,
3260620,E3,,,,,P+,
3260911,E3,P+,P+,,P+,,
3261459,E4,N-,,,,,
3265120,E4,,N-,,,,
3265564,E5,,P+,,,,
3267034,E1,P+,P+,,,,
3268895,E1,,P+,,,,
3269189,E1,P+,P+,,P+,,
3269241,E1,P+,P+,,P+,,
3271511,E5,,P+,,,,
3272947,E3,,P+,,,,
3273286,E1,,P+,,,,
3275680,E1,P+,P+,,P+,,
3276635,E3,,P+,,,,
3280400,E1,P+,P+,,P+,,
3281756,E1,P+,P+,,P+,,
3282418,E5,,P+,,,,
3285109,E3,,P+,,,,
3286580,E4,N-,,N-,,,
3286812,E1,P+,P+,,P+,,
3290722,E5,,P+,,,,
3290985,E1,P+,P+,,,,
3291012,E1,P+,P+,,,,
3291872,E1,P+,P+,,P+,,
3292969,E5,,,,,P+,
3294499,E6,,,,N-,,
3294843,E4,,,N-,,,More
3296319,E1,,P+,,,,
3299695,E5,,P+,,,,
3302444,E5,,P+,,,,
3304606,E4,,,N-,,,
3305368,E6,,,N-,,,No Change
3306550,E6,N-,,,,,
3307491,E5,,P+,,,,
3307801,E4,N-,,,,,
3310541,E5,,P+,,,,
3311121,E5,,P+,,,,
3311803,E3,,P+,,,,
3314604,E1,,P+,,,,
3316924,E1,P+,P+,,,,
3317004,E3,,P+,,,,
3318604,E6,,,N-,,,
3321335,E6,,,N-,,,No Change
3322403,E4,N-,,,,,
3325385,E1,,P+,,,,
3325513,E4,,,,N-,,
3326811,E3,,P+,,,,
3326905,E1,,P+,,,,
3328500,E3,P+,P+,,P+,,
3329662,E2,N-,,,,,
3331973,E5,,P+,,,,
3338146,E1,P+,P+,,,,
3340182,E3,,P+,,,,
3345075,E1,P+,P+,,,,
3345485,E4,,,N-,,,More
3345624,E5,,P+,,,,
3347954,E4,N-,,,,,
3350493,E1,,P+,,,,
3350867,E1,P+,P+,,P+,,
3351913,E3,P+,P+,,,,
3352834,E3,,P+,,,,
3352904,E3,,P+,,,,
3353245,E5,,P+,,,,
3353787,E6,N-,,,,,
3356155,E1,P+,P+,,P+,,
3356590,E1,,P+,,,,
3357003,E3,,P+,,,,
3363462,E4,,,,,N-,
3363617,E1,,P+,,,,
3364700,E3,,P+,,,,
3365669,E4,,,,N-,,
3365871,E1,P+,P+,,P+,,
3372371,E4,N-,,,,,
3377102,E2,N-,,,,,
3379809,E1,P+,P+,,,,
3381849,E5,,P+,,,,
3382248,E3,,P+,,,,
3382311,E5,,P+,,,,
3383281,E1,P+,P+,,,,
3384293,E4,N-,,,,,
3384512,E5,,P+,,,,
3386064,E1,P+,P+,,,,
3386297,E1,P+,P+,,,,
3388378,E5,,P+,,,,
3392535,E5,,P+,,,,
3393254,E1,,P+,,,,
3393764,E1,,P+,,,,
3394056,E4,N-,,,,,
3394687,E4,N-,,,N-,,
3394695,E5,,P+,,,,
3395871,E1,,P+,,,,
3399750,E4,N-,,,,,
3402491,E3,P+,P+,,P+,,
3403891,E5,,P+,,,,
3403923,E5,,P+,,,,
3404229,E1,,P+,,,,
3404380,E4,N-,,,,,
3405308,E3,,P+,,,,
3405631,E3,,P+,,,,
3407364,E6,,,N-,,,No Change
3410473,E3,P+,P+,,,,
3410761,E6,,,N-,,,No Change
3411393,E4,,,,N-,,
3412073,E1,,P+,,,,
3414314,E1,P+,P+,,P+,,
3417447,E5,,P+,,,,
3418773,E6,N-,,,,,
3420834,E1,P+,P+,,,,
3421650,E6,,,N-,,,
3422144,E3,,P+,,,,
3422397,E1,,P+,,,,
3425036,E4,,,N-,,,More
3425182,E1,P+,P+,,,,
3427755,E6,,,N-,,,
3429518,E2,N-,,,,,
3430751,E1,,P+,,P+,,
3430757,E1,P+,P+,,P+,,
3431265,E1,,P+,,,,
3432390,E1,P+,P+,,,,
3433602,E3,P+,P+,,,,
3433626,E3,,P+,,,,
3433962,E3,,P+,,,,
3433984,E1,P+,P+,,,,
3435336,E1,P+,P+,,,,
3435563,E1,P+,P+,,,,
3436527,E5,,P+,,,,
3437845,E1,P+,P+,,P+,,
3438612,E5,,,,,P+,
3440703,E1,P+,,,,,
3441715,E4,,,,N-,,
3441764,E5,P+,P+,,,,
3443106,E1,P+,P+,,,,
3443303,E4,N-,,,,,
3445281,E1,P+,,,,,
3446983,E1,,P+,,,,
3450953,E1,,P+,,,,
3453949,E1,P+,P+,,P+,,
3454703,E4,N-,,,N-,,
3456422,E5,,P+,,,,
3459224,E5,,P+,,,,
3460122,E2,,,,N-,,
3461610,E3,P+,P+,,,,
3461704,E4,N-,,,,,
3462072,E3,,P+,,,,
3462263,E6,N-,,N-,,,
3463149,E3,P+,P+,,,,
3465956,E4,,,,,N-,
3466354,E4,N-,,,,,
3466815,E4,N-,,,,,
3468335,E5,,P+,,,,
3468429,E1,,P+,,P+,,
3469756,E1,,P+,,,,
3469799,E5,,P+,,,,
3471037,E4,N-,,,,,
3474047,E1,P+,P+,,,,
3474273,E3,,P+,,,,
3474828,E6,N-,,,,,
3476729,E1,P+,P+,,P+,,
3478500,E3,,P+,,,,
3482017,E6,N-,,,,,
3482527,E1,P+,P+,,,,
3483110,E6,,,N-,,,More
3484087,E1,,P+,,,,
3489028,E5,,P+,,,,
3490501,E1,P+,P+,,,,
3490709,E1,,P+,,,,
3491341,E3,,P+,,P+,,
3491497,E1,,P+,,,,
3493364,E3,P+,P+,,,,
3493631,E1,P+,P+,,,,
3495462,E1,,P+,,,,
3495687,E4,,,N-,,,No Change
3497015,E6,,,N-,N-,,
3497339,E1,,P+,,P+,,
3497543,E3,,P+,,,,
3498951,E3,,P+,,,,
3500106,E1,P+,P+,,,,
3500232,E4,N-,,N-,,,More
3501635,E5,,P+,,,,
3501791,E1,P+,P+,,P+,,
3502155,E1,,P+,,,,
3502210,E1,P+,P+,,,,
3503843,E1,P+,P+,,P+,,
3505734,E1,P+,P+,,P+,,
3507797,E1,P+,P+,,,,
3510973,E4,N-,,,,,
3512463,E4,N-,,,,,
3512862,E5,,P+,,,,
3514402,E6,,,,,N-,
3516155,E2,,,N-,,,More
3516400,E1,P+,P+,,P+,,
3517898,E5,,P+,,,,
3518095,E1,,P+,,,,
3518836,E4,N-,,,,,
3520725,E3,P+,,,,,
3521179,E3,,P+,,P+,,
3523557,E4,,,N-,,,No Change
3525107,E1,P+,P+,,,,
3525466,E3,,P+,,,,
3526353,E4,,,,,N-,
3527331,E1,,P+,,,,
3529827,E5,,P+,,,,
3531323,E1,,P+,,,,
3531754,E1,P+,P+,,,,
3531938,E6,,,,N-,,
3532155,E5,,P+,,,,
3532187,E3,P+,,,,,
3532904,E6,,,N-,,,Less
3532984,E1,P+,P+,,,,
3533049,E4,,,,,N-,
3533147,E1,,P+,,P+,,
3533925,E4,,,N-,,,
3537239,E3,,P+,,,,
3538755,E4,,,,N-,,
3540056,E6,,,N-,,,
3541310,E1,P+,P+,,,,
3541474,E1,P+,P+,,,,
3543436,E5,,P+,,,,
3543581,E3,,P+,,,,
3543742,E5,,P+,,,,
3544349,E1,P+,P+,,,,
3547574,E3,,P+,,,,
3548188,E1,P+,P+,,P+,,
3549606,E3,,P+,,,,
3549993,E6,N-,,,,,
3550118,E1,,P+,,,,
3551427,E1,,P+,,,,
3551532,E3,,P+,,,,
3553346,E3,,P+,,,,
3554905,E1,,P+,,,,
3555314,E3,,P+,,,,
3555877,E6,N-,N-,,,,
3556529,E3,,P+,,,,
3560132,E1,P+,P+,,P+,,
3560932,E5,,P+,,,,
3563606,E1,P+,P+,,,,
3563652,E4,,,,,N-,
3566967,E5,,P+,,,,
3568038,E3,P+,P+,,,,
3568322,E3,P+,P+,,P+,,
3570415,E5,,P+,,,,
3570703,E6,N-,,,,,
3570740,E1,P+,P+,,,,
3571855,E6,N-,,,,,
3571983,E6,,N-,,,,
3572487,E1,,P+,,,,
3572556,E1,P+,P+,,P+,,
3573430,E1,P+,P+,,P+,,
3574995,E1,P+,P+,,,,
3576068,E4,N-,,,,,
3576460,E3,,P+,,,,
3577400,E3,P+,P+,,,,
3581483,E1,,P+,,,,
3582904,E3,,P+,,,,
3583006,E1,P+,P+,,,,
3585920,E4,N-,,,,,
3585997,E5,,P+,,,,
3586625,E3,,P+,,,,
3588828,E4,N-,,,,,
3589535,E6,,,N-,,,
3591326,E5,,,P+,,,
3594599,E3,,P+,,,,
3594761,E1,P+,P+,,,,
3595080,E4,N-,,,,,
3596142,E4,N-,,N-,,,More
3596415,E5,,P+,,,,
3596546,E4,,,,N-,,
3597057,E5,,P+,,,,
3599113,E3,,P+,,,,
3599669,E1,P+,P+,,,,
3600331,E1,P+,P+,,P+,,
3600721,E5,,P+,,,,
3600870,E3,P+,P+,,,,
3602508,E4,,,N-,,,
3602596,E1,,P+,,,,
3602921,E5,,,P+,,,
3603490,E1,P+,P+,,P+,,
3603558,E4,N-,,,,,
3604329,E3,,P+,,P+,,
3604649,E6,N-,,,,,
3605053,E5,,P+,,,,
3608015,E4,N-,,,,,
3609385,E6,,N-,,,,
3610131,E1,P+,P+,,,,
3610280,E5,,P+,,,,
3610361,E4,,,N-,,,
3611685,E2,N-,,,,,
3613041,E1,,P+,,,,
3613417,E5,,P+,,,,
3613480,E5,,P+,,,,
3614981,E1,,P+,,,,
3615882,E1,P+,P+,,P+,,
3617109,E4,N-,,,,,
3617423,E6,N-,,,,,
3619301,E5,,P+,,,,
3622029,E1,P+,P+,,,,
3623346,E1,P+,P+,,,P+,
3624265,E5,,P+,,,,
3624953,E6,N-,,,,,
3625656,E1,,P+,,,,
3627667,E4,,,,N-,,
3630278,E6,N-,,,,,
3630778,E1,,P+,,,,
3631712,E1,P+,P+,,,,
3632123,E1,P+,P+,,,,
3632196,E1,P+,P+,,,,
3632252,E3,P+,P+,,P+,,
3633319,E5,,P+,,,,
3633363,E5,,P+,,,,
3636630,E6,N-,,,,,
3638408,E3,,P+,,P+,,
3639741,E1,P+,P+,,P+,,
3640051,E1,P+,P+,,,,
3640474,E4,,,,,N-,
3640579,E6,N-,,,,,
3640925,E5,,P+,,,,
3641306,E1,,P+,,,,
3641308,E2,,,,N-,,
3641833,E5,,P+,,,,
3642988,E1,,P+,,,,
3644700,E1,P+,P+,,,,
3645312,E3,,P+,,,,
3646468,E3,,P+,,,,
3647680,E5,,P+,,,,
3647710,E1,,P+,,,,
3648585,E5,,P+,,,,
3648901,E3,,P+,,,,
3649869,E2,,,N-,N-,,
3650747,E3,,P+,,,,
3652928,E4,N-,,,,,
3653161,E5,,P+,,,,
3653787,E3,P+,P+,,P+,,
3653926,E5,,P+,,,,
3654729,E1,P+,P+,,,,
3656045,E3,,P+,,P+,,
3656658,E1,P+,P+,,,,
3657378,E3,P+,P+,,,,
3658319,E1,P+,P+,,P+,,
3659526,E3,P+,P+,,,,
3659617,E1,P+,P+,,P+,,
3659915,E5,,P+,,,,
3660250,E5,,P+,,,,
3660453,E5,,P+,P+,,,
3660576,E4,,N-,,,,
3661299,E6,,,N-,,,More
3662592,E1,P+,P+,,P+,,
3664160,E6,,,,N-,,
3664415,E6,,,N-,,,More
3667014,E4,N-,,,,,
3667056,E3,,P+,,,,
3667386,E6,N-,,,,,
3668233,E5,,P+,,,,
3668913,E5,,P+,,,,
3671753,E3,,P+,,,,
3672755,E1,P+,P+,,P+,,
3672948,E5,P+,P+,,,,
3675089,E5,,P+,,,,
3675409,E5,,P+,,,,
3676755,E3,P+,P+,,,,
3678596,E3,,P+,,,,
3679520,E4,N-,,,,,
3681261,E1,P+,P+,,P+,,
3682384,E5,,P+,,,,
3685847,E3,P+,,,,,
3686013,E1,,P+,,,,
3686056,E1,,P+,,,,
3686157,E2,N-,,,,,
3686960,E4,N-,,,,,
3687205,E4,,,N-,,,No Change
3688407,E3,,P+,,,,
3688683,E4,N-,,,N-,,
3691170,E6,N-,,N-,,,No Change
3691862,E1,,P+,,,,
3692157,E4,N-,,,,,
3693189,E4,,,,,N-,
3694241,E4,N-,,,,,
3697303,E3,P+,P+,,,,
3697631,E6,,,N-,,,No Change
3698702,E5,,,,,P+,
3699793,E5,,P+,,,,
3700096,E5,,P+,,,,
3700978,E3,,P+,,,,
3701038,E1,,P+,,,,
3701093,E1,P+,P+,,,,
3702384,E4,N-,,,,,
3704570,E5,,P+,,,,
3704732,E1,,P+,,,,
3705635,E4,N-,,,,,
3706221,E4,N-,,,,,
3706264,E5,,P+,,,,
3707156,E4,,,,N-,,
3708055,E1,,P+,,,,
3709322,E3,,P+,,,P+,
3709352,E1,,P+,,P+,,
3709388,E1,,P+,,,,
3710737,E5,,P+,,,,
3710862,E5,,P+,,,,
3712232,E1,P+,P+,,P+,,
3712393,E4,N-,,,,,
3712775,E5,,P+,,,,
3713161,E1,P+,P+,,P+,,
3713444,E3,,P+,,P+,,
3714386,E5,,P+,,,,
3715511,E3,,P+,,,,
3717877,E3,,P+,,P+,,
3719309,E1,,P+,,,,
3720811,E5,,P+,,,,
3721893,E6,,,N-,,,No Change
3722141,E4,N-,,,N-,,
3722428,E3,,P+,,,,
3722574,E3,,P+,,,,
3723661,E2,N-,,,,,
3724151,E4,N-,,,,,
3724495,E1,P+,P+,,P+,,
3725282,E4,N-,,,,,
3725893,E1,,P+,,,,
3726108,E6,N-,,,,,
3726188,E5,,P+,,,,
3726511,E6,,,N-,,,
3727622,E4,N-,,,,,
3728120,E6,,,N-,,,No Change
3728209,E3,,P+,,,,
3729981,E3,,P+,,,,
3730075,E6,N-,,,,,
3730107,E3,P+,P+,,P+,,
3730815,E1,,P+,,,,
3730915,E3,,P+,,,,
3734358,E5,,P+,,,,
3735487,E5,,P+,,,,
3735573,E5,,,,,P+,
3735900,E5,P+,P+,,,,
3736169,E5,,,P+,,,
3737753,E1,P+,P+,,P+,,
3742239,E5,,P+,,,,
3743883,E3,,P+,,,,
3745206,E5,,P+,,,,
3747788,E3,,P+,,,,
3750005,E4,N-,,,,,
3750076,E1,P+,P+,,,,
3750274,E1,P+,P+,,P+,,
3750473,E5,,P+,,,,
3750882,E3,,P+,,,,
3751489,E3,,P+,,P+,,
3751615,E1,,P+,,,,
3752047,E6,N-,,,,,
3754305,E1,P+,P+,,,,
3756522,E4,N-,,,,,
3758481,E1,P+,P+,,,,
3758815,E1,P+,P+,,,,
3759456,E6,N-,,,,,
3759509,E2,N-,,,,,
3760060,E1,,P+,,,,
3762488,E5,,P+,,,,
3763713,E4,,,,N-,,
3763836,E1,P+,P+,,P+,,
3764103,E4,N-,,,,,
3765621,E1,,P+,,,,
3767361,E3,P+,P+,,P+,,
3771070,E2,N-,,,,,
3771409,E1,,P+,,,P+,
3771691,E1,P+,P+,,,,
3772102,E1,P+,P+,,P+,,
3773945,E5,,P+,,,,
3774959,E4,,,N-,,,No Change
3775127,E1,P+,P+,,,,
3776538,E4,N-,,,,,
3777845,E4,N-,,,,,
3779096,E4,,,,N-,,
3779290,E6,,,N-,,,No Change
3780097,E1,P+,P+,,P+,,
3780305,E1,P+,P+,,P+,,
3780314,E1,,P+,,,,
3781370,E1,P+,P+,,,,
3781394,E4,N-,,,,,
3781489,E1,,P+,,,,
3781716,E3,,P+,,,,
3782130,E3,,P+,,,,
3782631,E6,,,,,N-,
3783648,E5,,P+,,,,
3784727,E4,,,N-,,,
3785857,E6,,N-,,,,
3787031,E5,,P+,,,,
3787964,E5,,,P+,,,
3788968,E1,P+,P+,,P+,,
3791709,E4,,,,,N-,
3792374,E1,,,,,P+,
3792394,E1,,P+,,,,
3794277,E1,,P+,,,,
3797079,E3,,P+,,,,
3797288,E5,,P+,,,,
3798951,E4,,,N-,,,No Change
3802373,E5,,P+,,,,
3802847,E1,P+,P+,,,,
3806911,E1,,P+,,,,
3809200,E1,,P+,,,,
3809636,E4,N-,,,,,
3809780,E6,,,N-,,,
3810968,E4,,,N-,,,
3812548,E1,,P+,,,,
3812684,E1,P+,P+,,P+,,
3812834,E5,,P+,,,,
3814658,E1,P+,P+,,P+,,
3815624,E1,,P+,,P+,,
3816797,E1,P+,P+,,,,
3817425,E5,,P+,,,,
3818503,E1,P+,P+,,P+,,
3819935,E1,P+,P+,,,,
3820499,E1,P+,P+,,P+,,
3821416,E4,,N-,,,,
3823407,E6,N-,,,,,
3823725,E6,N-,,N-,,,
3823962,E4,,,N-,,,No Change
3825385,E5,,,,,P+,
3825524,E3,P+,P+,,P+,,
3825768,E3,,P+,,,,
3826187,E4,,,,N-,,
3827457,E1,,P+,,,,
3827710,E5,,P+,P+,,,
3829076,E4,,,N-,,,
3829948,E6,N-,,,,,
3831394,E1,,P+,,,,
3831870,E4,N-,,,,,
3833056,E5,,P+,,,,
3833583,E1,P+,P+,,,,
3833866,E1,,P+,,,,
3833913,E1,,P+,,,,
3838404,E1,,P+,,,,
3838884,E1,,P+,,,,
3838910,E1,P+,P+,,,,
3840616,E3,,P+,,P+,,
3841516,E1,P+,P+,,P+,,
3843391,E4,N-,,,,,
3845244,E4,,,,,N-,
3848045,E4,,,,,N-,
3848187,E5,,P+,,,,
3848453,E5,,,,,P+,
3852632,E5,,P+,,,,
3855121,E5,,P+,,,,
3855192,E4,N-,,,,,
3857297,E1,P+,P+,,,,
3859531,E4,,,N-,,,No Change
3860067,E1,P+,P+,,P+,,
3861780,E2,,,N-,,,
3862365,E3,,P+,,P+,,
3864458,E1,P+,P+,,P+,,
3868324,E1,P+,P+,,,,
3868951,E5,,P+,,,,
3870106,E4,,,,N-,,
3870605,E1,P+,P+,,P+,,
3872934,E3,,P+,,,,
3873890,E1,P+,P+,,P+,,
3874775,E1,P+,P+,,P+,,
3876245,E1,P+,P+,,P+,,
3879405,E5,,P+,,,,
3879569,E3,P+,P+,,,,
3880269,E4,,,N-,,,More
3881772,E1,P+,P+,,,,
3882751,E1,,P+,,,,
3884259,E3,,P+,,,,
3884437,E3,,P+,,,,
3886253,E3,,P+,,,,
3890509,E5,,P+,,,,
3890739,E1,P+,P+,,,,
3891760,E3,P+,P+,,,,
3893041,E5,,P+,,,,
3894738,E5,,P+,P+,,,
